"COMPETÊNCIA",UF,"CÓDIGO DO MUNICÍPIO","MUNICÍPIO",CNES,"NOME FANTASIA","TIPO NOVO DO ESTABELECIMENTO","TIPO DO ESTABELECIMENTO","SUBTIPO DO ESTABELECIMENTO","GESTÃO","CONVÊNIO SUS","CATEGORIA NATUREZA JURÍDICA","SERVIÇO","SERVIÇO CLASSIFICAÇÃO","SERVIÇO - AMBULATORIAL SUS","SERVIÇO - AMBULATORIAL NÃO SUS","SERVIÇO - HOSPITALAR SUS","SERVIÇO - HOSPITALAR NÃO SUS","SERVIÇO TERCEIRO","STATUS DO ESTABELECIMENTO"
"2026/02",MG,310740,"BOM DESPACHO",2168707,"HOSP SANTA CASA DE BOM DESPACHO","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"SEM FINS LUCRATIVOS","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL",Sim,Sim,Sim,Sim,"NAO INFORMADO",ATIVO
"2026/02",MT,510517,JURUENA,2392895,"HOSPITAL MUNICIPAL DE JURUENA RENILDA DE FATIMA DE MORAIS","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",DF,530010,BRASILIA,3144607,"UBS 6 SANTA MARIA","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",ESTADUAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",PR,410690,CURITIBA,3000907,"HOSPITAL E MATERNIDADE SANTA BRIGIDA","006 HOSPITAL","07 HOSPITAL ESPECIALIZADO","N/A",MUNICIPAL,"NÃO",PRIVADO,"165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","Não",Sim,"Não",Sim,"NAO INFORMADO",ATIVO
"2026/02",CE,230445,FORTIM,2414821,"UNIDADE BASICA DE SAUDE DE GUAJIRU","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",CE,230430,"FARIAS BRITO",2372436,"POSTO DE SAUDE DE QUINCUNCA","001 UNIDADE BASICA DE SAUDE","01 POSTO DE SAUDE","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",MG,316250,"SAO JOAO DEL REI",2173565,"HOSPITAL NOSSA SENHORA DAS MERCES","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"SEM FINS LUCRATIVOS","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",RJ,330330,NITEROI,0012645,"POLICLINICA REGIONAL DO BARRETO DR JOAO DA SILVA VIZELLA","016 AMBULATORIO","04 POLICLINICA","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",RJ,330170,"DUQUE DE CAXIAS",2290227,"HOSPITAL MUNICIPAL ADAO PEREIRA NUNES","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",MT,510180,"BARRA DO GARCAS",7761929,"UPA 24 HORAS DR MARCELO DE MOURA PAES LEMES","008 PRONTO ATENDIMENTO","73 PRONTO ATENDIMENTO","003 UPA",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
